Filter, NumValues, FPR
basic, 1024, 0.00976562
basic, 4096, 0.00805664
basic, 16384, 0.00982666
basic, 65536, 0.0098877
basic, 262144, 0.010006
basic, 1048576, 0.0101252
basic, 4194304, 0.0101652
basic, 16777216, 0.01015
basic, 67108864, 0.0102834
blocked, 1024, 0.00976562
blocked, 4096, 0.0258789
blocked, 16384, 0.00354004
blocked, 65536, 0.0185547
blocked, 262144, 0.00866318
blocked, 1048576, 0.0142612
blocked, 4194304, 0.00721741
blocked, 16777216, 0.00903982
blocked, 67108864, 0.0151336
patterned_register_blocked_simd, 1024, 0.0605469
patterned_register_blocked_simd, 4096, 0.0595703
patterned_register_blocked_simd, 16384, 0.0734863
patterned_register_blocked_simd, 65536, 0.0608673
patterned_register_blocked_simd, 262144, 0.0624962
patterned_register_blocked_simd, 1048576, 0.0611162
patterned_register_blocked_simd, 4194304, 0.0614727
patterned_register_blocked_simd, 16777216, 0.0614355
patterned_register_blocked_simd, 67108864, 0.0689829
register_blocked, 1024, 0.0664062
register_blocked, 4096, 0.0371094
register_blocked, 16384, 0.0661621
register_blocked, 65536, 0.0357819
register_blocked, 262144, 0.0808411
register_blocked, 1048576, 0.0364885
register_blocked, 4194304, 0.0364499
register_blocked, 16777216, 0.0823165
register_blocked, 67108864, 0.0364685
register_blocked_compensated, 1024, 0.0283203
register_blocked_compensated, 4096, 0.015625
register_blocked_compensated, 16384, 0.0333862
register_blocked_compensated, 65536, 0.0180664
register_blocked_compensated, 262144, 0.0440331
register_blocked_compensated, 1048576, 0.0181284
register_blocked_compensated, 4194304, 0.0180638
register_blocked_compensated, 16777216, 0.0437697
register_blocked_compensated, 67108864, 0.0181318
register_blocked_simd, 1024, 0.0976562
register_blocked_simd, 4096, 0.0739746
register_blocked_simd, 16384, 0.079895
register_blocked_simd, 65536, 0.0780182
register_blocked_simd, 262144, 0.0784836
register_blocked_simd, 1048576, 0.0779543
register_blocked_simd, 4194304, 0.0785825
register_blocked_simd, 16777216, 0.0784596
register_blocked_simd, 67108864, 0.078427
